id,quality
1,5
2,5
3,6
4,6
5,6
6,5
7,6
8,5
9,6
10,5
11,6
12,6
13,5
14,6
15,5
16,6
17,6
18,5
19,5
20,6
21,6
22,6
23,6
24,6
25,5
26,6
27,6
28,6
29,5
30,6
31,6
32,6
33,6
34,5
35,6
36,6
37,6
38,6
39,6
40,5
41,6
42,6
43,6
44,6
45,6
46,5
47,6
48,6
49,6
50,6
51,5
52,5
53,5
54,5
55,5
56,6
57,6
58,6
59,6
60,6
61,5
62,6
63,5
64,6
65,6
66,6
67,5
68,6
69,5
70,6
71,5
72,5
73,6
74,6
75,6
76,5
77,6
78,6
79,6
80,6
81,5
82,5
83,5
84,6
85,6
86,5
87,6
88,6
89,6
90,5
91,6
92,5
93,6
94,5
95,6
96,5
97,5
98,6
99,6
100,6
101,6
102,6
103,6
104,5
105,6
106,6
107,6
108,6
109,5
110,5
111,6
112,5
113,6
114,6
115,5
116,6
117,6
118,5
119,5
120,6
121,6
122,6
123,6
124,6
125,6
126,6
127,5
128,6
129,6
130,6
131,6
132,5
133,6
134,6
135,6
136,6
137,5
138,5
139,5
140,5
141,6
142,6
143,6
144,6
145,6
146,6
147,5
148,6
149,6
150,5
151,6
152,6
153,5
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,5
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,5
173,6
174,6
175,5
176,6
177,6
178,6
179,6
180,6
181,6
182,6
183,6
184,5
185,6
186,6
187,5
188,6
189,6
190,6
191,6
192,5
193,6
194,6
195,6
196,6
197,6
198,5
199,6
200,5
201,6
202,5
203,6
204,5
205,6
206,6
207,6
208,6
209,6
210,6
211,5
212,6
213,5
214,6
215,6
216,6
217,6
218,6
219,5
220,6
221,5
222,6
223,5
224,6
225,6
226,5
227,6
228,6
229,5
230,6
231,6
232,6
233,6
234,5
235,6
236,5
237,5
238,6
239,5
240,6
241,6
242,5
243,5
244,6
245,6
246,6
247,5
248,6
249,6
250,5
251,5
252,5
253,6
254,6
255,6
256,6
257,6
258,6
259,5
260,5
261,5
262,6
263,5
264,5
265,6
266,6
267,6
268,6
269,6
270,6
271,5
272,6
273,6
274,6
275,6
276,5
277,5
278,6
279,5
280,5
281,5
282,6
283,5
284,6
285,5
286,5
287,6
288,5
289,6
290,6
291,5
292,5
293,6
294,5
295,6
296,5
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,5
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,5
314,6
315,6
316,6
317,5
318,5
319,6
320,5
321,5
322,6
323,5
324,6
325,6
326,6
327,5
328,5
329,6
330,6
331,5
332,5
333,5
334,6
335,5
336,5
337,6
338,6
339,6
340,5
341,5
342,5
343,6
344,6
345,6
346,6
347,6
348,6
349,6
350,5
351,6
352,6
353,6
354,5
355,6
356,5
357,6
358,6
359,5
360,6
361,6
362,5
363,6
364,6
365,6
366,6
367,5
368,6
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,6
377,6
378,6
379,5
380,6
381,5
382,6
383,5
384,5
385,5
386,6
387,6
388,6
389,6
390,6
391,6
392,6
393,6
394,6
395,5
396,6
397,6
398,6
399,6
400,5
401,6
402,6
403,6
404,5
405,5
406,6
407,6
408,6
409,6
410,5
411,6
412,5
413,6
414,6
415,5
416,5
417,6
418,6
419,6
420,6
421,6
422,6
423,6
424,6
425,6
426,6
427,6
428,5
429,5
430,5
431,6
432,6
433,6
434,6
435,6
436,6
437,6
438,5
439,6
440,6
441,5
442,6
443,6
444,5
445,6
446,6
447,6
448,6
449,6
450,5
451,6
452,6
453,5
454,6
455,6
456,5
457,6
458,6
459,6
460,6
461,6
462,5
463,6
464,5
465,5
466,5
467,6
468,6
469,5
470,6
471,6
472,6
473,5
474,6
475,6
476,6
477,6
478,5
479,6
480,6
481,6
482,5
483,6
484,5
485,6
486,6
487,6
488,6
489,6
490,5
491,6
492,5
493,5
494,5
495,5
496,5
497,5
498,6
499,6
500,6
501,6
502,6
503,6
504,6
505,6
506,6
507,6
508,6
509,6
510,6
511,6
512,6
513,6
514,6
515,5
516,6
517,5
518,6
519,6
520,5
521,6
522,6
523,5
524,5
525,6
526,6
527,6
528,6
529,6
530,5
531,6
532,5
533,6
534,5
535,5
536,6
537,6
538,6
539,5
540,5
541,6
542,6
543,6
544,6
545,6
546,6
547,5
548,6
549,6
550,6
551,6
552,6
553,5
554,6
555,5
556,6
557,6
558,6
559,6
560,5
561,6
562,6
563,6
564,6
565,6
566,5
567,5
568,5
569,6
570,6
571,6
572,5
573,6
574,6
575,5
576,5
577,6
578,6
579,5
580,5
581,6
582,6
583,6
584,5
585,5
586,6
587,6
588,5
589,6
590,6
591,6
592,6
593,5
594,5
595,5
596,6
597,6
598,6
599,6
600,6
601,6
602,6
603,5
604,5
605,5
606,6
607,6
608,6
609,6
610,6
611,5
612,6
613,6
614,5
615,6
616,6
617,5
618,6
619,6
620,5
621,5
622,6
623,6
624,6
625,6
626,6
627,5
628,6
629,6
630,6
631,6
632,6
633,5
634,5
635,6
636,6
637,6
638,6
639,6
640,6
641,5
642,6
