iter	Passed	Remaining
0	146	438290
1	267	400575
2	384	383774
3	520	390226
4	639	382833
5	740	369333
6	860	368097
7	977	365751
8	1077	358082
9	1198	358291
10	1315	357433
11	1434	357113
12	1532	352053
13	1627	347181
14	1742	346708
15	1859	346739
16	1975	346700
17	2092	346610
18	2209	346704
19	2328	346918
20	2427	344308
21	2567	347499
22	2684	347492
23	2802	347527
24	2901	345258
25	3020	345462
26	3133	345015
27	3253	345311
28	3353	343593
29	3471	343649
30	3588	343699
31	3685	341804
32	3821	343617
33	3938	343586
34	4054	343499
35	4150	341738
36	4267	341760
37	4384	341752
38	4480	340163
39	4594	339973
40	4709	339900
41	4826	339929
42	4943	339928
43	5042	338733
44	5156	338583
45	5271	338544
46	5387	338526
47	5523	339672
48	5639	339636
49	5755	339571
50	5892	340743
51	5990	339635
52	6108	339678
53	6203	338460
54	6340	339518
55	6437	338452
56	6553	338392
57	6670	338330
58	6768	337368
59	6888	337522
60	6986	336628
61	7126	337695
62	7242	337626
63	7333	336440
64	7433	335643
65	7548	335575
66	7686	336506
67	7824	337383
68	7939	337268
69	8078	338140
70	8171	337090
71	8291	337186
72	8428	337966
73	8562	338569
74	8679	338508
75	8797	338491
76	8914	338385
77	9005	337360
78	9141	338014
79	9281	338758
80	9398	338706
81	9498	337997
82	9614	337905
83	9751	338531
84	9890	339189
85	10025	339712
86	10160	340213
87	10276	340074
88	10410	340489
89	10527	340386
90	10665	340943
91	10781	340802
92	10918	341281
93	11053	341717
94	11155	341113
95	11249	340292
96	11364	340127
97	11486	340137
98	11625	340670
99	11764	341165
100	11882	341058
101	11996	340843
102	12117	340814
103	12256	341291
104	12347	340438
105	12460	340197
106	12596	340577
107	12694	339942
108	12810	339765
109	12905	339058
110	13030	339157
111	13148	339032
112	13261	338808
113	13358	338187
114	13476	338081
115	13610	338393
116	13743	338660
117	13865	338635
118	13981	338482
119	14080	337935
120	14222	338405
121	14318	337785
122	14454	338093
123	14597	338558
124	14693	337946
125	14832	338315
126	14953	338288
127	15077	338309
128	15197	338238
129	15333	338526
130	15432	337989
131	15548	337822
132	15690	338223
133	15782	337567
134	15878	336977
135	15968	336284
136	16112	336708
137	16214	336284
138	16342	336370
139	16458	336220
140	16572	336038
141	16686	335841
142	16825	336164
143	16918	335549
144	17038	335474
145	17135	334958
146	17251	334822
147	17375	334837
148	17473	334332
149	17571	333849
150	17690	333782
151	17830	334084
152	17966	334325
153	18089	334311
154	18192	333913
155	18308	333777
156	18403	333253
157	18520	333141
158	18641	333083
159	18741	332668
160	18858	332545
161	18996	332786
162	19093	332323
163	19211	332215
164	19349	332451
165	19446	332000
166	19544	331561
167	19668	331561
168	19806	331785
169	19928	331757
170	20048	331683
171	20149	331289
172	20285	331487
173	20381	331020
174	20478	330587
175	20595	330466
176	20713	330360
177	20836	330341
178	20937	329967
179	21064	330017
180	21187	329979
181	21286	329585
182	21407	329528
183	21523	329404
184	21623	329025
185	21743	328964
186	21860	328840
187	21975	328693
188	22094	328618
189	22231	328790
190	22357	328812
191	22462	328517
192	22587	328511
193	22701	328357
194	22818	328235
195	22921	327922
196	23014	327463
197	23151	327626
198	23268	327517
199	23410	327743
200	23534	327724
201	23635	327390
202	23775	327589
203	23876	327254
204	23978	326929
205	24077	326566
206	24184	326318
207	24310	326318
208	24403	325891
209	24527	325866
210	24650	325824
211	24793	326057
212	24919	326057
213	25037	325957
214	25134	325579
215	25250	325454
216	25350	325119
217	25453	324828
218	25547	324422
219	25667	324345
220	25804	324488
221	25902	324133
222	26003	323816
223	26103	323496
224	26226	323459
225	26342	323342
226	26467	323322
227	26591	323292
228	26733	323492
229	26851	323389
230	26966	323246
231	27085	323153
232	27221	323268
233	27357	323383
234	27458	323071
235	27556	322736
236	27655	322409
237	27774	322328
238	27872	321995
239	27970	321660
240	28105	321753
241	28222	321648
242	28341	321554
243	28479	321679
244	28580	321388
245	28702	321326
246	28805	321060
247	28943	321180
248	29064	321108
249	29164	320808
250	29304	320947
251	29444	321089
252	29568	321050
253	29690	320987
254	29808	320877
255	29908	320582
256	30006	320264
257	30105	319962
258	30225	319873
259	30367	320021
260	30466	319723
261	30567	319442
262	30684	319331
263	30782	319019
264	30927	319190
265	31050	319144
266	31172	319085
267	31288	318956
268	31424	319030
269	31525	318757
270	31663	318852
271	31784	318781
272	31876	318418
273	31968	318056
274	32104	318127
275	32197	317773
276	32293	317453
277	32411	317352
278	32502	316983
279	32599	316684
280	32697	316385
281	32804	316177
282	32947	316317
283	33046	316034
284	33138	315685
285	33279	315802
286	33373	315478
287	33472	315201
288	33593	315124
289	33709	315013
290	33810	314748
291	33915	314535
292	34011	314225
293	34110	313959
294	34225	313829
295	34340	313702
296	34431	313361
297	34570	313450
298	34670	313193
299	34773	312958
300	34915	313082
301	35017	312835
302	35116	312570
303	35237	312501
304	35328	312163
305	35418	311825
306	35539	311755
307	35661	311693
308	35765	311474
309	35869	311252
310	36005	311315
311	36121	311199
312	36221	310953
313	36322	310711
314	36439	310602
315	36531	310288
316	36632	310047
317	36749	309945
318	36852	309718
319	36994	309829
320	37109	309710
321	37244	309752
322	37360	309638
323	37484	309595
324	37606	309526
325	37701	309245
326	37825	309199
327	37948	309137
328	38039	308827
329	38162	308773
330	38267	308571
331	38364	308302
332	38462	308045
333	38561	307800
334	38686	307760
335	38778	307456
336	38901	307405
337	39023	307337
338	39126	307123
339	39265	307190
340	39355	306883
341	39454	306638
342	39593	306703
343	39698	306507
344	39818	306426
345	39916	306179
346	40030	306055
347	40152	305988
348	40270	305895
349	40365	305625
350	40488	305565
351	40582	305289
352	40680	305044
353	40773	304762
354	40871	304519
355	40970	304284
356	41083	304158
357	41182	303919
358	41277	303657
359	41396	303571
360	41510	303449
361	41605	303188
362	41705	302971
363	41804	302735
364	41908	302548
365	42007	302317
366	42130	302260
367	42234	302071
368	42355	301999
369	42477	301933
370	42577	301717
371	42690	301584
372	42787	301345
373	42886	301120
374	43026	301183
375	43125	300958
376	43225	300744
377	43344	300657
378	43459	300547
379	43578	300462
380	43669	300187
381	43782	300060
382	43920	300103
383	44016	299863
384	44157	299924
385	44271	299807
386	44363	299539
387	44482	299451
388	44580	299229
389	44698	299137
390	44812	299018
391	44933	298946
392	45047	298828
393	45147	298613
394	45246	298398
395	45346	298186
396	45444	297967
397	45541	297735
398	45634	297482
399	45753	297396
400	45866	297275
401	45963	297046
402	46061	296827
403	46179	296736
404	46301	296674
405	46420	296585
406	46537	296488
407	46649	296362
408	46748	296147
409	46845	295926
410	46944	295715
411	47037	295467
412	47134	295246
413	47235	295049
414	47334	294844
415	47427	294599
416	47568	294649
417	47666	294435
418	47767	294242
419	47864	294023
420	47962	293815
421	48062	293614
422	48153	293362
423	48251	293152
424	48347	292927
425	48467	292850
426	48586	292768
427	48685	292567
428	48783	292358
429	48881	292153
430	48985	291980
431	49106	291908
432	49197	291664
433	49300	291484
434	49418	291399
435	49516	291192
436	49619	291017
437	49739	290942
438	49839	290747
439	49957	290661
440	50071	290551
441	50172	290362
442	50270	290163
443	50390	290086
444	50512	290023
445	50613	289836
446	50734	289764
447	50852	289679
448	50989	289696
449	51092	289522
450	51191	289325
451	51304	289214
452	51404	289022
453	51500	288812
454	51601	288630
455	51717	288530
456	51835	288443
457	51936	288258
458	52040	288092
459	52136	287885
460	52251	287782
461	52374	287721
462	52481	287569
463	52579	287374
464	52716	287390
465	52818	287213
