id,quality
1,5
2,6
3,6
4,5
5,5
6,6
7,5
8,7
9,5
10,6
11,7
12,5
13,5
14,5
15,5
16,5
17,6
18,5
19,6
20,5
21,5
22,6
23,7
24,5
25,5
26,6
27,5
28,5
29,7
30,6
31,6
32,6
33,7
34,6
35,5
36,5
37,6
38,7
39,7
40,7
41,6
42,5
43,6
44,6
45,6
46,6
47,5
48,5
49,5
50,5
51,7
52,6
53,6
54,6
55,6
56,6
57,6
58,5
59,6
60,5
61,6
62,5
63,5
64,5
65,5
66,6
67,7
68,5
69,6
70,6
71,5
72,7
73,7
74,6
75,5
76,7
77,5
78,6
79,5
80,5
81,6
82,6
83,5
84,5
85,7
86,7
87,5
88,5
89,7
90,7
91,6
92,5
93,5
94,5
95,6
96,6
97,6
98,5
99,7
100,7
101,5
102,6
103,5
104,5
105,5
106,6
107,7
108,5
109,6
110,5
111,7
112,5
113,5
114,5
115,5
116,5
117,5
118,6
119,6
120,5
121,7
122,5
123,6
124,6
125,5
126,6
127,7
128,5
129,6
130,5
131,5
132,5
133,5
134,6
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,6
143,7
144,6
145,5
146,5
147,5
148,6
149,5
150,6
151,6
152,6
153,7
154,6
155,6
156,5
157,5
158,6
159,6
160,6
161,6
162,5
163,5
164,5
165,5
166,7
167,7
168,5
169,6
170,6
171,5
172,6
173,7
174,7
175,7
176,6
177,5
178,5
179,5
180,5
181,7
182,7
183,5
184,6
185,5
186,7
187,5
188,7
189,6
190,5
191,5
192,7
193,6
194,5
195,7
196,5
197,6
198,7
199,5
200,6
201,6
202,6
203,5
204,7
205,5
206,6
207,6
208,5
209,6
210,5
211,7
212,6
213,5
214,6
215,5
216,6
217,5
218,5
219,5
220,6
221,7
222,6
223,5
224,5
225,6
226,6
227,5
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,6
236,7
237,7
238,6
239,5
240,7
241,5
242,5
243,5
244,7
245,6
246,6
247,6
248,5
249,6
250,5
251,6
252,6
253,5
254,5
255,6
256,6
257,5
258,5
259,6
260,6
261,5
262,6
263,6
264,5
265,5
266,7
267,5
268,5
269,5
270,6
271,7
272,5
273,6
274,5
275,5
276,5
277,5
278,7
279,7
280,7
281,7
282,5
283,5
284,6
285,6
286,5
287,5
288,5
289,5
290,5
291,6
292,5
293,7
294,5
295,5
296,7
297,5
298,7
299,6
300,7
301,5
302,6
303,6
304,5
305,5
306,6
307,5
308,5
309,5
310,5
311,6
312,6
313,7
314,7
315,7
316,6
317,5
318,5
319,7
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,6
328,5
329,6
330,5
331,5
332,5
333,6
334,6
335,5
336,6
337,5
338,5
339,5
340,5
341,6
342,6
343,6
344,5
345,6
346,6
347,6
348,5
349,6
350,6
351,5
352,5
353,5
354,6
355,5
356,5
357,6
358,6
359,6
360,6
361,5
362,5
363,5
364,5
365,5
366,5
367,5
368,5
369,5
370,7
371,6
372,5
373,5
374,6
375,6
376,5
377,6
378,6
379,5
380,5
381,6
382,5
383,5
384,6
385,7
386,5
387,5
388,6
389,5
390,5
391,7
392,5
393,7
394,6
395,5
396,5
397,7
398,5
399,5
400,6
401,5
402,7
403,6
404,5
405,5
406,5
407,6
408,5
409,6
410,7
411,5
412,5
413,7
414,7
415,5
416,6
417,5
418,5
419,6
420,6
421,5
422,5
423,5
424,7
425,6
426,6
427,6
428,6
429,7
430,5
431,6
432,5
433,5
434,6
435,5
436,5
437,6
438,6
439,5
440,5
441,7
442,7
443,5
444,5
445,7
