,게시글번호,기준일,기준시간,확진자 수,사망자 수,게시글번호(감염현황 고유값),등록일시분초,수정일시분초
0,5455,2021-12-30,00:00,625963,19251165,743,2021-12-30 09:06:07.06,2021-12-31 09:06:08.729
1,5382,2021-12-29,00:00,620928,19196738,742,2021-12-29 08:56:22.982,2021-12-31 09:05:59.006
2,5346,2021-12-28,00:00,615520,19141481,741,2021-12-28 09:01:15.646,2021-12-31 09:05:49.778
3,5300,2021-12-27,00:00,611655,19082135,740,2021-12-27 08:59:50.623,2021-12-31 09:05:43.312
4,5245,2021-12-26,00:00,607450,19040194,739,2021-12-26 07:59:54.187,2021-12-31 09:05:28.706
5,5176,2021-12-25,00:00,602054,18994820,738,2021-12-25 07:33:26.751,2021-12-31 09:05:20.043
6,5071,2021-12-24,00:00,596194,18929158,737,2021-12-24 09:02:52.845,2021-12-31 09:05:10.596
7,5015,2021-12-23,00:00,589961,18859285,736,2021-12-23 08:52:40.512,2021-12-31 09:05:02.888
8,4906,2021-12-22,00:00,583047,18786344,735,2021-12-22 09:18:12.299,2021-12-30 09:07:39.267
9,4828,2021-12-21,00:00,575595,18718803,734,2021-12-21 09:01:45.74,2021-12-29 08:57:08.866
10,4776,2021-12-20,00:00,570403,18645857,733,2021-12-20 09:02:35.235,2021-12-26 08:00:45.727
11,4722,2021-12-19,00:00,565087,18593165,732,2021-12-19 09:00:28.825,2021-12-26 08:00:34.995
12,4644,2021-12-18,00:00,558854,18539009,731,2021-12-18 09:10:13.455,2021-12-26 08:00:22.206
13,4591,2021-12-17,00:00,551544,18460563,730,2021-12-17 09:07:19.97,2021-12-25 07:35:15.466
14,4518,2021-12-16,00:00,544110,18381569,729,2021-12-16 09:09:11.111,2021-12-25 07:35:06.184
15,4456,2021-12-15,00:00,536491,18298675,728,2021-12-15 09:02:08.087,2021-12-25 07:34:57.519
16,4386,2021-12-14,00:00,528642,18224740,727,2021-12-14 09:05:48.519,2021-12-22 09:20:01.681
