,게시글번호,기준일시,시도명(한글),전일대비 증감 수,격리 해제 수,지역발생 수,해외유입 수,10만명당 발생률,사망자 수,게시글번호(국내 시도별 발생현황 고유값),등록일시분초,수정일시분초
0,6729,2021년 12월 30일 00시,검역,34,6459,0,34,-,16,14202,2021-12-30 09:09:47.379,null
1,4622,2021년 12월 30일 00시,제주,21,4385,20,1,685,13,14201,2021-12-30 09:09:47.378,null
2,20447,2021년 12월 30일 00시,경남,197,17968,197,0,612,87,14200,2021-12-30 09:09:47.378,null
3,15210,2021년 12월 30일 00시,경북,82,13165,82,0,576,152,14199,2021-12-30 09:09:47.378,null
4,6018,2021년 12월 30일 00시,전남,48,5294,47,1,325,37,14198,2021-12-30 09:09:47.378,null
5,9469,2021년 12월 30일 00시,전북,230,8019,228,2,525,99,14197,2021-12-30 09:09:47.378,null
6,17958,2021년 12월 30일 00시,충남,123,15428,122,1,847,141,14196,2021-12-30 09:09:47.377,null
7,11424,2021년 12월 30일 00시,충북,80,10349,80,0,714,108,14195,2021-12-30 09:09:47.377,null
8,12333,2021년 12월 30일 00시,강원,91,10958,87,4,799,100,14194,2021-12-30 09:09:47.377,null
9,184887,2021년 12월 30일 00시,경기,1465,146588,1448,17,1377,1792,14193,2021-12-30 09:09:47.377,null
10,2125,2021년 12월 30일 00시,세종,21,1884,21,0,597,4,14192,2021-12-30 09:09:47.377,null
11,6833,2021년 12월 30일 00시,울산,40,6261,37,3,601,62,14191,2021-12-30 09:09:47.376,null
12,12179,2021년 12월 30일 00시,대전,90,10290,88,2,832,165,14190,2021-12-30 09:09:47.376,null
13,7941,2021년 12월 30일 00시,광주,102,7186,101,1,548,41,14189,2021-12-30 09:09:47.376,null
14,36418,2021년 12월 30일 00시,인천,318,30241,316,2,1238,260,14188,2021-12-30 09:09:47.376,null
15,22992,2021년 12월 30일 00시,대구,117,21124,115,2,951,361,14187,2021-12-30 09:09:47.376,null
16,24815,2021년 12월 30일 00시,부산,256,20460,252,4,732,266,14186,2021-12-30 09:09:47.375,null
17,223567,2021년 12월 30일 00시,서울,1722,173898,1689,33,2312,1751,14185,2021-12-30 09:09:47.375,null
18,625967,2021년 12월 30일 00시,합계,5037,509957,4930,107,1208,5455,14184,2021-12-30 09:09:47.375,null
19,6695,2021년 12월 29일 00시,검역,26,6459,0,26,-,16,14183,2021-12-29 08:59:08.535,null
20,4601,2021년 12월 29일 00시,제주,33,4355,32,1,682,13,14182,2021-12-29 08:59:08.535,null
