,게시글번호,"구분(성별, 연령별)",확진자,확진률,치명률,사망자,사망률,등록일시분초,수정일시분초
0,13979,0-9,48461,7.74,0.01,3,0.05,2021-12-30 09:28:34.13,null
1,13978,10-19,62440,9.97,0.00,0,0.00,2021-12-30 09:28:34.13,null
2,13977,20-29,93857,14.99,0.01,12,0.22,2021-12-30 09:28:34.13,null
3,13976,30-39,91003,14.54,0.04,35,0.64,2021-12-30 09:28:34.13,null
4,13975,40-49,91421,14.60,0.08,75,1.37,2021-12-30 09:28:34.129,null
5,13974,50-59,90932,14.53,0.30,270,4.95,2021-12-30 09:28:34.129,null
6,13973,60-69,89237,14.26,0.93,826,15.14,2021-12-30 09:28:34.129,null
7,13972,70-79,38213,6.10,3.84,1468,26.91,2021-12-30 09:28:34.129,null
8,13971,80 이상,20403,3.26,13.56,2766,50.71,2021-12-30 09:28:34.129,null
9,13970,여성,300213,47.96,0.89,2657,48.71,2021-12-30 09:28:34.128,null
10,13969,남성,325754,52.04,0.86,2798,51.29,2021-12-30 09:28:34.128,null
11,13935,0-9,47778,7.69,0.01,3,0.06,2021-12-29 08:59:29.545,null
12,13934,10-19,61880,9.97,0.00,0,0.00,2021-12-29 08:59:29.545,null
13,13933,20-29,93197,15.01,0.01,12,0.22,2021-12-29 08:59:29.544,null
14,13932,30-39,90292,14.54,0.04,35,0.65,2021-12-29 08:59:29.544,null
15,13931,40-49,90685,14.60,0.08,73,1.36,2021-12-29 08:59:29.544,null
16,13930,50-59,90250,14.53,0.29,265,4.92,2021-12-29 08:59:29.544,null
17,13929,60-69,88585,14.27,0.92,817,15.18,2021-12-29 08:59:29.544,null
18,13928,70-79,37979,6.12,3.80,1444,26.83,2021-12-29 08:59:29.544,null
19,13927,80 이상,20292,3.27,13.47,2733,50.78,2021-12-29 08:59:29.543,null
20,13926,여성,297708,47.94,0.88,2626,48.79,2021-12-29 08:59:29.543,null
21,13925,남성,323230,52.06,0.85,2756,51.21,2021-12-29 08:59:29.543,null
22,13913,0-9,47162,7.66,0.01,3,0.06,2021-12-28 09:03:08.168,null
23,13912,10-19,61233,9.95,0.00,0,0.00,2021-12-28 09:03:08.168,null
24,13911,20-29,92548,15.04,0.01,12,0.22,2021-12-28 09:03:08.168,null
25,13910,30-39,89486,14.54,0.04,35,0.65,2021-12-28 09:03:08.167,null
26,13909,40-49,89885,14.60,0.08,72,1.35,2021-12-28 09:03:08.167,null
27,13908,50-59,89532,14.55,0.29,261,4.88,2021-12-28 09:03:08.167,null
28,13907,60-69,87830,14.27,0.93,814,15.23,2021-12-28 09:03:08.167,null
29,13906,70-79,37716,6.13,3.80,1433,26.81,2021-12-28 09:03:08.167,null
30,13905,80 이상,20140,3.27,13.49,2716,50.80,2021-12-28 09:03:08.166,null
31,13904,여성,294950,47.92,0.89,2614,48.90,2021-12-28 09:03:08.166,null
32,13903,남성,320582,52.08,0.85,2732,51.10,2021-12-28 09:03:08.166,null
33,13891,0-9,46574,7.61,0.01,3,0.06,2021-12-27 09:01:17.205,null
34,13890,10-19,60773,9.94,0.00,0,0.00,2021-12-27 09:01:17.205,null
35,13889,20-29,92126,15.06,0.01,12,0.23,2021-12-27 09:01:17.205,null
36,13888,30-39,88933,14.54,0.04,35,0.66,2021-12-27 09:01:17.204,null
37,13887,40-49,89293,14.60,0.08,72,1.36,2021-12-27 09:01:17.204,null
38,13886,50-59,89053,14.56,0.29,261,4.92,2021-12-27 09:01:17.204,null
39,13885,60-69,87304,14.27,0.92,807,15.23,2021-12-27 09:01:17.204,null
40,13884,70-79,37557,6.14,3.78,1420,26.79,2021-12-27 09:01:17.204,null
41,13883,80 이상,20057,3.28,13.41,2690,50.75,2021-12-27 09:01:17.203,null
42,13882,여성,292997,47.90,0.89,2595,48.96,2021-12-27 09:01:17.203,null
43,13881,남성,318673,52.10,0.85,2705,51.04,2021-12-27 09:01:17.203,null
44,13858,0-9,45934,7.56,0.01,3,0.06,2021-12-26 08:03:05.592,null
45,13857,10-19,60288,9.92,0.00,0,0.00,2021-12-26 08:03:05.592,null
46,13856,20-29,91673,15.09,0.01,12,0.23,2021-12-26 08:03:05.592,null
47,13855,30-39,88337,14.54,0.04,34,0.65,2021-12-26 08:03:05.592,null
48,13854,40-49,88674,14.60,0.08,72,1.37,2021-12-26 08:03:05.591,null
49,13853,50-59,88506,14.57,0.29,260,4.96,2021-12-26 08:03:05.591,null
50,13852,60-69,86717,14.28,0.92,798,15.21,2021-12-26 08:03:05.591,null
51,13851,70-79,37364,6.15,3.75,1403,26.75,2021-12-26 08:03:05.591,null
52,13850,80 이상,19970,3.29,13.34,2663,50.77,2021-12-26 08:03:05.591,null
53,13849,여성,290960,47.90,0.88,2569,48.98,2021-12-26 08:03:05.59,null
54,13848,남성,316503,52.10,0.85,2676,51.02,2021-12-26 08:03:05.59,null
55,13836,0-9,45217,7.51,0.01,3,0.06,2021-12-25 07:38:07.945,null
56,13835,10-19,59665,9.91,0.00,0,0.00,2021-12-25 07:38:07.945,null
57,13834,20-29,91113,15.13,0.01,12,0.23,2021-12-25 07:38:07.945,null
58,13833,30-39,87603,14.55,0.04,32,0.62,2021-12-25 07:38:07.945,null
59,13832,40-49,87902,14.60,0.08,71,1.37,2021-12-25 07:38:07.944,null
60,13831,50-59,87772,14.58,0.29,256,4.95,2021-12-25 07:38:07.944,null
61,13830,60-69,85870,14.26,0.93,795,15.36,2021-12-25 07:38:07.944,null
62,13829,70-79,37086,6.16,3.74,1386,26.78,2021-12-25 07:38:07.944,null
63,13828,80 이상,19817,3.29,13.23,2621,50.64,2021-12-25 07:38:07.944,null
64,13827,여성,288301,47.89,0.87,2522,48.72,2021-12-25 07:38:07.943,null
65,13826,남성,313744,52.11,0.85,2654,51.28,2021-12-25 07:38:07.943,null
66,13814,0-9,44458,7.46,0.01,3,0.06,2021-12-24 09:04:41.203,null
67,13813,10-19,59005,9.90,0.00,0,0.00,2021-12-24 09:04:41.203,null
68,13812,20-29,90440,15.17,0.01,12,0.24,2021-12-24 09:04:41.203,null
