일자,계(명),국내발생(명),해외유입(명),누적환자수,,,
2020-01-20,1 ,0 ,1 ,0,,,
2020-01-21,0 ,0 ,0 ,0 ,,,
2020-01-22,0 ,0 ,0 ,0 ,,,
2020-01-23,0 ,0 ,0 ,0 ,,,
2020-01-24,1 ,0 ,1 ,1 ,,,
2020-01-25,0 ,0 ,0 ,1 ,,,
2020-01-26,1 ,0 ,1 ,2 ,,,
2020-01-27,1 ,0 ,1 ,3 ,,,
2020-01-28,0 ,0 ,0 ,3 ,,,
2020-01-29,0 ,0 ,0 ,3 ,,,
2020-01-30,3 ,1 ,2 ,6 ,,,
2020-01-31,4 ,3 ,1 ,10 ,,,
2020-02-01,1 ,0 ,1 ,11 ,,,
2020-02-02,3 ,1 ,2 ,14 ,,,
2020-02-03,0 ,0 ,0 ,14 ,,,
2020-02-04,1 ,0 ,1 ,15 ,,,
2020-02-05,5 ,3 ,2 ,20 ,,,
2020-02-06,3 ,1 ,2 ,23 ,,,
2020-02-07,0 ,0 ,0 ,23 ,,,
2020-02-08,0 ,0 ,0 ,23 ,,,
2020-02-09,3 ,1 ,2 ,26 ,,,
2020-02-10,1 ,1 ,0 ,27 ,,,
2020-02-11,0 ,0 ,0 ,27 ,,,
2020-02-12,0 ,0 ,0 ,27 ,,,
2020-02-13,0 ,0 ,0 ,27 ,,,
2020-02-14,0 ,0 ,0 ,27 ,,,
2020-02-15,0 ,0 ,0 ,27 ,,,
2020-02-16,2 ,2 ,0 ,29 ,,,
2020-02-17,0 ,0 ,0 ,29 ,,,
2020-02-18,2 ,2 ,0 ,31 ,,,
2020-02-19,34 ,34 ,0 ,65 ,,,
2020-02-20,16 ,16 ,0 ,81 ,,,
2020-02-21,74 ,74 ,0 ,155 ,,,
2020-02-22,190 ,190 ,0 ,345 ,,,
2020-02-23,210 ,209 ,1 ,555 ,,,
2020-02-24,207 ,206 ,1 ,762 ,,,
2020-02-25,130 ,129 ,1 ,892 ,,,
2020-02-26,253 ,252 ,1 ,"1,145 ",,,
2020-02-27,449 ,447 ,2 ,"1,594 ",,,
2020-02-28,427 ,427 ,0 ,"2,021 ",,,
2020-02-29,909 ,909 ,0 ,"2,930 ",,,
2020-03-01,595 ,593 ,2 ,"3,525 ",,,
2020-03-02,686 ,684 ,2 ,"4,211 ",,,
2020-03-03,600 ,599 ,1 ,"4,811 ",,,
2020-03-04,516 ,516 ,0 ,"5,327 ",,,
2020-03-05,438 ,437 ,1 ,"5,765 ",,,
2020-03-06,518 ,518 ,0 ,"6,283 ",,,
2020-03-07,483 ,483 ,0 ,"6,766 ",,,
2020-03-08,367 ,366 ,1 ,"7,133 ",,,
2020-03-09,248 ,247 ,1 ,"7,381 ",,,
2020-03-10,131 ,131 ,0 ,"7,512 ",,,
2020-03-11,242 ,239 ,3 ,"7,754 ",,,
2020-03-12,114 ,112 ,2 ,"7,868 ",,,
2020-03-13,110 ,107 ,3 ,"7,978 ",,,
2020-03-14,107 ,102 ,5 ,"8,085 ",,,
2020-03-15,76 ,72 ,4 ,"8,161 ",,,
2020-03-16,74 ,70 ,4 ,"8,235 ",,,
2020-03-17,84 ,79 ,5 ,"8,319 ",,,
2020-03-18,93 ,80 ,13 ,"8,412 ",,,
2020-03-19,152 ,135 ,17 ,"8,564 ",,,
2020-03-20,87 ,73 ,14 ,"8,651 ",,,
2020-03-21,147 ,126 ,21 ,"8,798 ",,,
2020-03-22,98 ,77 ,21 ,"8,896 ",,,
2020-03-23,64 ,46 ,18 ,"8,960 ",,,
2020-03-24,76 ,46 ,30 ,"9,036 ",,,
2020-03-25,100 ,42 ,58 ,"9,136 ",,,
2020-03-26,104 ,56 ,48 ,"9,240 ",,,
2020-03-27,91 ,57 ,34 ,"9,331 ",,,
2020-03-28,146 ,90 ,56 ,"9,477 ",,,
2020-03-29,105 ,38 ,67 ,"9,582 ",,,
2020-03-30,78 ,35 ,43 ,"9,660 ",,,
2020-03-31,125 ,88 ,37 ,"9,785 ",,,
2020-04-01,101 ,56 ,45 ,"9,886 ",,,
2020-04-02,89 ,43 ,46 ,"9,975 ",,,
2020-04-03,86 ,37 ,49 ,"10,061 ",,,
2020-04-04,94 ,53 ,41 ,"10,155 ",,,
2020-04-05,81 ,31 ,50 ,"10,236 ",,,
2020-04-06,47 ,25 ,22 ,"10,283 ",,,
2020-04-07,47 ,23 ,24 ,"10,330 ",,,
2020-04-08,53 ,23 ,30 ,"10,383 ",,,
2020-04-09,39 ,13 ,26 ,"10,422 ",,,
2020-04-10,27 ,17 ,10 ,"10,449 ",,,
2020-04-11,30 ,16 ,14 ,"10,479 ",,,
2020-04-12,32 ,9 ,23 ,"10,511 ",,,
2020-04-13,25 ,10 ,15 ,"10,536 ",,,
2020-04-14,27 ,11 ,16 ,"10,563 ",,,
2020-04-15,27 ,13 ,14 ,"10,590 ",,,
2020-04-16,22 ,11 ,11 ,"10,612 ",,,
2020-04-17,22 ,7 ,15 ,"10,634 ",,,
2020-04-18,18 ,9 ,9 ,"10,652 ",,,
2020-04-19,8 ,2 ,6 ,"10,660 ",,,
2020-04-20,13 ,6 ,7 ,"10,673 ",,,
2020-04-21,9 ,4 ,5 ,"10,682 ",,,
2020-04-22,11 ,5 ,6 ,"10,693 ",,,
2020-04-23,8 ,4 ,4 ,"10,701 ",,,
2020-04-24,6 ,4 ,2 ,"10,707 ",,,
2020-04-25,10 ,5 ,5 ,"10,717 ",,,
2020-04-26,10 ,1 ,9 ,"10,727 ",,,
2020-04-27,10 ,3 ,7 ,"10,737 ",,,
2020-04-28,14 ,2 ,12 ,"10,751 ",,,
2020-04-29,9 ,4 ,5 ,"10,760 ",,,
2020-04-30,4 ,0 ,4 ,"10,764 ",,,
2020-05-01,9 ,1 ,8 ,"10,773 ",,,
2020-05-02,6 ,0 ,6 ,"10,779 ",,,
2020-05-03,13 ,3 ,10 ,"10,792 ",,,
2020-05-04,8 ,0 ,8 ,"10,800 ",,,
2020-05-05,3 ,0 ,3 ,"10,803 ",,,
2020-05-06,2 ,0 ,2 ,"10,805 ",,,
2020-05-07,4 ,1 ,3 ,"10,809 ",,,
2020-05-08,12 ,1 ,11 ,"10,821 ",,,
2020-05-09,18 ,17 ,1 ,"10,839 ",,,
2020-05-10,34 ,26 ,8 ,"10,873 ",,,
2020-05-11,35 ,29 ,6 ,"10,908 ",,,
2020-05-12,27 ,22 ,5 ,"10,935 ",,,
2020-05-13,26 ,22 ,4 ,"10,961 ",,,
2020-05-14,29 ,26 ,3 ,"10,990 ",,,
2020-05-15,27 ,22 ,5 ,"11,017 ",,,
2020-05-16,19 ,9 ,10 ,"11,036 ",,,
2020-05-17,13 ,6 ,7 ,"11,049 ",,,
2020-05-18,15 ,5 ,10 ,"11,064 ",,,
2020-05-19,13 ,9 ,4 ,"11,077 ",,,
2020-05-20,32 ,24 ,8 ,"11,109 ",,,
2020-05-21,12 ,10 ,2 ,"11,121 ",,,
2020-05-22,20 ,11 ,9 ,"11,141 ",,,
2020-05-23,23 ,19 ,4 ,"11,164 ",,,
2020-05-24,25 ,17 ,8 ,"11,189 ",,,
2020-05-25,16 ,13 ,3 ,"11,205 ",,,
2020-05-26,19 ,16 ,3 ,"11,224 ",,,
2020-05-27,40 ,37 ,3 ,"11,264 ",,,
2020-05-28,79 ,68 ,11 ,"11,343 ",,,
2020-05-29,58 ,55 ,3 ,"11,401 ",,,
2020-05-30,39 ,27 ,12 ,"11,440 ",,,
2020-05-31,27 ,15 ,12 ,"11,467 ",,,
2020-06-01,35 ,30 ,5 ,"11,502 ",,,
2020-06-02,38 ,36 ,2 ,"11,540 ",,,
2020-06-03,49 ,46 ,3 ,"11,589 ",,,
2020-06-04,39 ,33 ,6 ,"11,628 ",,,
2020-06-05,39 ,34 ,5 ,"11,667 ",,,
2020-06-06,51 ,43 ,8 ,"11,718 ",,,
2020-06-07,57 ,53 ,4 ,"11,775 ",,,
2020-06-08,37 ,32 ,5 ,"11,812 ",,,
2020-06-09,38 ,35 ,3 ,"11,850 ",,,
2020-06-10,50 ,43 ,7 ,"11,900 ",,,
2020-06-11,45 ,40 ,5 ,"11,945 ",,,
2020-06-12,56 ,43 ,13 ,"12,001 ",,,
2020-06-13,48 ,43 ,5 ,"12,049 ",,,
2020-06-14,34 ,31 ,3 ,"12,083 ",,,
2020-06-15,37 ,24 ,13 ,"12,120 ",,,
2020-06-16,34 ,21 ,13 ,"12,154 ",,,
2020-06-17,43 ,31 ,12 ,"12,197 ",,,
2020-06-18,59 ,51 ,8 ,"12,256 ",,,
2020-06-19,49 ,32 ,17 ,"12,305 ",,,
2020-06-20,67 ,36 ,31 ,"12,372 ",,,
2020-06-21,48 ,40 ,8 ,"12,420 ",,,
2020-06-22,17 ,11 ,6 ,"12,437 ",,,
2020-06-23,46 ,16 ,30 ,"12,483 ",,,
2020-06-24,51 ,30 ,21 ,"12,534 ",,,
2020-06-25,28 ,23 ,5 ,"12,562 ",,,
2020-06-26,39 ,26 ,13 ,"12,601 ",,,
2020-06-27,51 ,31 ,20 ,"12,652 ",,,
2020-06-28,62 ,40 ,22 ,"12,714 ",,,
2020-06-29,42 ,30 ,12 ,"12,756 ",,,
2020-06-30,42 ,22 ,20 ,"12,798 ",,,
2020-07-01,51 ,36 ,15 ,"12,849 ",,,
2020-07-02,54 ,44 ,10 ,"12,903 ",,,
