일자,현재지수,대비,등락률(%),배당수익률(%),주가이익비율,주가자산비율,시가지수,고가지수,저가지수,거래량(천주),거래대금(백만원),상장시가총액(백만원)
2020/01/02,"2,175.17",-22.50,-1.02,2.04,18.01,0.88,"2,201.21","2,202.32","2,171.84","494,678","4,638,167","1,461,424,794"
2020/01/03,"2,176.46",1.29,0.06,2.04,18.02,0.88,"2,192.58","2,203.38","2,165.39","631,563","5,763,663","1,462,298,972"
2020/01/06,"2,155.07",-21.39,-0.98,2.06,17.84,0.87,"2,154.97","2,164.42","2,149.95","592,671","5,156,541","1,448,385,085"
2020/01/07,"2,175.54",20.47,0.95,2.04,18.01,0.88,"2,166.60","2,181.62","2,164.27","568,236","5,143,512","1,462,298,814"
2020/01/08,"2,151.31",-24.23,-1.11,2.06,17.81,0.87,"2,156.27","2,162.32","2,137.72","913,831","8,750,722","1,446,631,314"
2020/01/09,"2,186.45",35.14,1.63,2.03,18.11,0.89,"2,182.20","2,186.45","2,172.16","592,604","7,261,591","1,470,805,019"
2020/01/10,"2,206.39",19.94,0.91,2.01,18.27,0.89,"2,189.48","2,206.92","2,188.10","594,537","6,459,300","1,484,063,381"
2020/01/13,"2,229.26",22.87,1.04,1.99,18.46,0.90,"2,204.49","2,230.43","2,204.49","488,289","6,214,780","1,499,967,181"
2020/01/14,"2,238.88",9.62,0.43,1.98,18.54,0.91,"2,243.06","2,250.79","2,232.94","835,899","7,294,228","1,506,534,496"
2020/01/15,"2,230.98",-7.90,-0.35,1.99,18.48,0.91,"2,229.80","2,238.21","2,223.39","746,156","5,946,351","1,501,047,629"
2020/01/16,"2,248.05",17.07,0.77,1.97,18.62,0.91,"2,231.93","2,249.09","2,225.41","808,332","6,204,474","1,513,149,909"
2020/01/17,"2,250.57",2.52,0.11,1.97,18.64,0.91,"2,261.57","2,268.71","2,245.58","580,816","5,444,384","1,515,299,754"
2020/01/20,"2,262.64",12.07,0.54,1.96,18.75,0.92,"2,261.40","2,277.23","2,258.09","545,491","5,950,403","1,524,384,084"
2020/01/21,"2,239.69",-22.95,-1.01,1.98,18.55,0.91,"2,259.81","2,266.31","2,238.25","770,320","5,569,551","1,508,408,628"
2020/01/22,"2,267.25",27.56,1.23,1.96,18.78,0.92,"2,238.53","2,269.27","2,235.13","608,510","6,365,617","1,526,798,959"
2020/01/23,"2,246.13",-21.12,-0.93,1.98,18.61,0.91,"2,254.54","2,260.63","2,241.94","509,609","6,790,104","1,512,629,062"
2020/01/28,"2,176.72",-69.41,-3.09,2.04,18.03,0.88,"2,192.22","2,199.93","2,166.23","808,879","8,818,232","1,466,083,103"
2020/01/29,"2,185.28",8.56,0.39,2.03,18.10,0.89,"2,188.18","2,195.45","2,172.33","692,301","6,589,950","1,472,171,522"
2020/01/30,"2,148.00",-37.28,-1.71,2.07,17.79,0.87,"2,181.54","2,187.45","2,139.72","602,838","7,105,203","1,446,505,817"
2020/01/31,"2,119.01",-28.99,-1.35,2.09,17.56,0.86,"2,160.60","2,167.23","2,119.01","710,508","7,226,687","1,427,047,755"
2020/02/03,"2,118.88",-0.13,-0.01,2.09,17.56,0.86,"2,086.61","2,126.73","2,082.74","836,700","8,068,704","1,427,133,302"
2020/02/04,"2,157.90",39.02,1.84,2.06,17.88,0.88,"2,121.22","2,162.32","2,120.53","624,642","7,791,178","1,454,235,584"
2020/02/05,"2,165.63",7.73,0.36,2.05,17.94,0.88,"2,177.26","2,181.52","2,154.88","574,396","7,736,275","1,460,243,895"
2020/02/06,"2,227.94",62.31,2.88,1.99,18.46,0.90,"2,184.77","2,229.99","2,182.25","695,216","8,334,738","1,501,460,506"
2020/02/07,"2,211.95",-15.99,-0.72,2.01,18.33,0.90,"2,221.49","2,223.92","2,198.14","800,342","8,813,174","1,491,013,321"
2020/02/10,"2,201.07",-10.88,-0.49,2.02,18.24,0.89,"2,185.63","2,203.39","2,180.51","609,566","5,471,061","1,483,846,707"
2020/02/11,"2,223.12",22.05,1.00,2.00,18.42,0.90,"2,213.50","2,233.32","2,211.25","526,211","6,611,195","1,498,338,522"
2020/02/12,"2,238.38",15.26,0.69,1.98,18.55,0.91,"2,225.95","2,242.24","2,214.77","632,463","6,892,198","1,508,346,242"
2020/02/13,"2,232.96",-5.42,-0.24,1.99,18.51,0.91,"2,245.72","2,255.49","2,230.30","638,666","8,121,197","1,505,295,817"
2020/02/14,"2,243.59",10.63,0.48,1.97,18.63,0.91,"2,232.71","2,251.50","2,221.90","597,224","6,379,565","1,511,254,623"
